--contingency
label
'Monument_wildfire_data_SD_2'
--bus section
i, v(p.u.), theta(deg), bcs(MVAR at v = 1 p.u.)
99, 0.99281146151476984407, -68.35061012058163498750, 0.00000000000000000000
100, 1.00174217427264644620, -72.59461798446658065131, 0.00000000000000000000
101, 0.99244197109644671784, -90.94194159415597766838, 0.00000000000000000000
102, 0.99827863160061958148, -74.06872523893899540326, 0.00000000000000000000
103, 1.00072424549048610842, -72.02070895702873087885, 0.00000000000000000000
104, 1.00747400485364968503, -89.90782472797505420203, 0.00000000000000000000
105, 1.00370686319253410446, -55.32522223754516232930, 0.00000000000000000000
106, 1.00542527413812732284, -65.77077992216472068776, 0.00000000000000000000
107, 1.00319418566752549538, -37.92227571697532795270, 0.00000000000000000000
108, 1.00137771500158834215, -44.49501560819699363947, 0.00000000000000000000
109, 1.00086352386875732101, -35.18459682010202271840, 0.00000000000000000000
110, 1.00041391831213899444, -31.92699753009168261997, 0.00000000000000000000
111, 1.00410334445291837824, -48.95225973024032128933, 0.00000000000000000000
112, 1.00531798664634530738, -31.87931772041130784601, 0.00000000000000000000
113, 1.00178819618994863205, -44.25337865011891835820, 0.00000000000000000000
114, 0.96928453020599358858, -71.10191580187594695417, 0.00000000000000000000
115, 1.00075271892020323250, -29.87958972763311749077, 0.00000000000000000000
116, 0.99476246126614076282, -36.34288718555887243156, 0.00000000000000000000
117, 1.00265075201230580149, -42.75554923148613539752, 0.00000000000000000000
118, 1.00331812395422526052, -63.61630055836653951928, 0.00000000000000000000
119, 1.00297994709027848970, -31.44843056391374958025, 0.00000000000000000000
120, 0.99479292412197373174, -41.46233355272048726192, 0.00000000000000000000
121, 0.99960546642216308033, -39.86243917207749376530, 0.00000000000000000000
122, 1.01486279043931992838, -38.96925072054629168861, 0.00000000000000000000
123, 1.00167592586931641918, -45.92480639334833369958, 0.00000000000000000000
124, 0.99845211993584481736, -46.11764407612844962614, 0.00000000000000000000
125, 1.03718708206572740593, -44.01483835104023967233, 0.00000000000000000000
126, 0.99674040161585286679, -31.75863050090145378590, 0.00000000000000000000
127, 0.99042118888042818270, -56.18118025504865897801, 0.00000000000000000000
128, 0.95851975196460525996, -57.54926497932247997369, 0.00000000000000000000
129, 1.01677219817044894867, -39.76017626931449910899, 0.00000000000000000000
130, 0.99945764750659360498, -37.17896720560082712836, 0.00000000000000000000
131, 1.00553155044700837095, -27.02763258445931882079, 0.00000000000000000000
132, 1.00275919940989721724, -45.40113869738135576881, 0.00000000000000000000
133, 1.00092899765752019192, -52.10934118964438965804, 0.00000000000000000000
134, 1.00126824082740673028, -52.21104363846581009057, 0.00000000000000000000
135, 1.00055842607985034931, -44.49901193404242150109, 0.00000000000000000000
136, 1.00138836836391087459, -37.22576312474491544435, 0.00000000000000000000
137, 1.01032787472909690862, -32.55800821927524424382, 0.00000000000000000000
138, 1.00301505303468552199, -34.70007350032359028091, 0.00000000000000000000
139, 0.98772573451863066030, -53.19038651990364741096, 0.00000000000000000000
140, 1.04608758272840329795, -53.18848309587086475858, 0.00000000000000000000
141, 0.98993857180209321456, -44.29356837228485943569, 0.00000000000000000000
142, 0.99295390291089236090, -43.96384961134042868025, 0.00000000000000000000
143, 1.00358678255544941926, -55.05145990589874571697, 0.00000000000000000000
144, 0.99823035405940352405, -38.23654264153823589822, 0.00000000000000000000
145, 1.00463427838884533649, -33.82068343815331701308, 0.00000000000000000000
146, 1.00692081107749253910, -51.63824957090810841009, 0.00000000000000000000
147, 1.00013093648699458171, -44.65174459191295852634, 0.00000000000000000000
148, 0.99034643236516972653, -36.61601824357900625273, 0.00000000000000000000
149, 1.01151953991565402013, -30.03443099433625818051, 0.00000000000000000000
150, 1.00135822851299582936, -49.57399371487293393557, 0.00000000000000000000
151, 0.98455140545524255646, -77.75083900737838860096, 0.00000000000000000000
152, 1.02369738999879955621, -67.93365860151996571403, 0.00000000000000000000
153, 1.00735866989794042858, -71.20826444536162114218, 0.00000000000000000000
154, 1.00356181850665482358, -53.45055307589678506019, 0.00000000000000000000
155, 1.00946907759973636409, -71.43509487105031041665, 0.00000000000000000000
156, 0.98435434161847279455, -78.45597874940169447200, 0.00000000000000000000
157, 1.00068502114705437656, -76.47851904618596563523, 0.00000000000000000000
158, 1.00765097398866276812, -74.55928731121028363305, 0.00000000000000000000
159, 1.05999986532304824038, -60.51542928887182171138, 0.00000000000000000000
160, 1.05460700955430120018, -59.54474508688252143429, 0.00000000000000000000
161, 1.01159966027573688940, -62.58983267099593206240, 0.00000000000000000000
162, 1.05212916607679418668, -60.29739075164239636706, 0.00000000000000000000
163, 1.05782299868996010339, -60.46463283161329371751, 0.00000000000000000000
164, 1.05999009565119894916, -57.60417209587772902069, 0.00000000000000000000
165, 1.05999991219450029334, -61.03304457641899460896, 0.00000000000000000000
166, 1.01327770902431413269, -185.99527212901546135981, 0.00000000000000000000
167, 0.98780828239790319234, -186.03632190413134139817, 0.00000000000000000000
168, 1.00485716595490504055, -184.32067135719353245804, 0.00000000000000000000
169, 1.05246991356505881221, -58.01752899782648853488, 0.00000000000000000000
170, 1.00913160166782756022, -53.81518465896717628993, 0.00000000000000000000
171, 1.05267236924457696645, -59.94537594163696070382, 0.00000000000000000000
172, 1.05363789586841560819, -60.70905012104537235018, 0.00000000000000000000
173, 0.96778511488072549440, -55.91777864459131563990, 0.00000000000000000000
174, 1.00149506846072333666, -67.79545663317897208344, 0.00000000000000000000
175, 0.94212693394884294840, -56.05527962571630951061, 0.00000000000000000000
176, 0.97104389865796347792, -61.81321685350709316253, 0.00000000000000000000
177, 0.94363557794109564902, -56.10492409347131825825, 0.00000000000000000000
178, 1.03306407381344689256, -60.53905915134909321296, 0.00000000000000000000
179, 0.99444244095311895570, -80.91527188437439122026, 0.00000000000000000000
180, 1.01842569016924189285, -62.20935992995007524087, 0.00000000000000000000
181, 1.00167595075875004440, 1.93213480607372378728, 0.00000000000000000000
182, 1.00375056512220051097, -6.89665368901642406030, 0.00000000000000000000
183, 0.99979589335036378461, -4.62084652461085898523, 0.00000000000000000000
184, 0.99433139541280224361, -14.61993862765211815713, 0.00000000000000000000
185, 1.00079156284710091285, 2.27654576167577094026, 0.00000000000000000000
186, 0.99733094750809958562, -0.57826758028906788400, 0.00000000000000000000
187, 0.99411708719595381911, -8.51096505137159198284, 0.00000000000000000000
188, 0.99969867376538801285, -7.31808243102490241228, 0.00000000000000000000
189, 1.00164569878607778719, -6.05900174586321327297, 0.00000000000000000000
190, 0.99717814783229308251, 7.22154029143003128866, 0.00000000000000000000
191, 0.99795118393588355676, 7.30944150940666581562, 0.00000000000000000000
192, 1.00147710410737711406, -1.69195809239114502986, 0.00000000000000000000
193, 0.99990554397447306556, -4.63365267269937675110, 0.00000000000000000000
194, 1.00784444961504981997, -1.96632502118615626330, 0.00000000000000000000
195, 1.00502951970682219418, -2.69044049131408868902, 0.00000000000000000000
196, 1.00048631656654340993, -4.84004315872904911089, 0.00000000000000000000
197, 0.99739833683126633002, -7.16093880847221964103, 0.00000000000000000000
198, 0.99989916150317759147, 5.65893061348381998243, 0.00000000000000000000
199, 0.99448432438711142911, 1.28006381680711589510, 0.00000000000000000000
200, 1.00904796442122557387, -3.96309609613538427197, 0.00000000000000000000
201, 1.00006373821702676530, -0.38918119368453263363, 0.00000000000000000000
202, 1.00126759726205527556, -7.17582404854660360627, 0.00000000000000000000
203, 0.99960548198684306964, -6.73586994800828531282, 0.00000000000000000000
204, 1.01568499881906348925, 3.24065805961809738633, 0.00000000000000000000
205, 0.99886228018755862657, -6.86870570321376217038, 0.00000000000000000000
206, 1.00168628120290659211, -1.45307289086427560143, 0.00000000000000000000
207, 1.00054873289338908116, 1.72170605793128772554, 0.00000000000000000000
208, 0.96899116555666331418, -45.59341800879779782463, 0.00000000000000000000
209, 1.00537008511392556009, -32.29048182853797754888, 0.00000000000000000000
210, 0.99097226399359783500, -37.64546901917660193249, 0.00000000000000000000
211, 0.98043134351983229902, -49.37399657251427953497, 0.00000000000000000000
212, 1.00034235851525665772, -41.88825745677776524190, 0.00000000000000000000
213, 1.02385284950553945293, -42.85070257365679680106, 0.00000000000000000000
214, 1.00880377932982900901, 7.20419383295595938677, 0.00000000000000000000
215, 0.99354805119593070373, 6.04847521893560902129, 0.00000000000000000000
216, 0.99078299312249629160, -28.81441049646728203015, 0.00000000000000000000
217, 0.96046679471711970955, -31.95439729588223443102, 0.00000000000000000000
218, 1.00570680157434777513, -27.78138403504363651564, 0.00000000000000000000
219, 1.00118592490281255181, -29.43272627238214766976, 0.00000000000000000000
220, 1.01145991841081972495, -32.93432573593036494231, 0.00000000000000000000
221, 0.99501688050696301957, -1.20396211405354813806, 0.00000000000000000000
