--contingency
label
'Monument_wildfire_data_SD_2'
--bus section
i, v(p.u.), theta(deg), bcs(MVAR at v = 1 p.u.)
47, 0.99441687803416201064, -72.35690120371403111221, 0.00000000000000000000
48, 0.99372285473543620071, -70.33952782032396555678, 0.00000000000000000000
49, 1.00682448234129040543, -61.59761660708693398192, 0.00000000000000000000
50, 0.98908370697769576463, -64.19740864829579152229, 0.00000000000000000000
51, 1.00257270526446795600, -84.29442339216029722593, 0.00000000000000000000
52, 0.99328322171083849312, -70.37248095372603984288, 0.00000000000000000000
53, 0.97938067292912833750, -88.10227555610396166230, 0.00000000000000000000
54, 1.00081241583365909698, -65.80979841192699097974, 0.00000000000000000000
55, 1.00203803374183753050, -71.96989749044844586479, 0.00000000000000000000
56, 0.99977732879181968606, -61.69601997482502042658, 0.00000000000000000000
57, 0.99097011044383354061, -74.63421638034330385381, 0.00000000000000000000
58, 1.00064092362160472760, -62.66388816003099293539, 0.00000000000000000000
59, 1.00121442761895607099, -65.61696120043049518245, 0.00000000000000000000
60, 1.00221329767992983761, -62.57299970165760072405, 0.00000000000000000000
61, 1.00727607500034754828, -71.87926419374055342359, 0.00000000000000000000
62, 1.00572551410023436347, -91.57636647539150942521, 0.00000000000000000000
63, 1.01512189631901250664, -86.35123076636564576347, 0.00000000000000000000
64, 1.00608357725652863834, -92.70716834154941921042, 0.00000000000000000000
65, 1.00967634800342276336, -92.72316396766194657175, 0.00000000000000000000
66, 1.00021024056612373165, -84.41605597806723437770, 0.00000000000000000000
67, 0.99156691797117735288, -81.96741038360481468317, 0.00000000000000000000
68, 1.00126955637095882423, -87.73401147505218489187, 0.00000000000000000000
69, 1.00203646919718147856, -77.29787507943009927658, 0.00000000000000000000
70, 1.00349360047149716024, -71.41800127925347396740, 0.00000000000000000000
71, 0.99865749940934656070, -74.99054486143148778865, 0.00000000000000000000
72, 1.00147346729869846094, -71.99556192609490778977, 0.00000000000000000000
73, 0.99839141103475803618, -74.99569673713942563609, 0.00000000000000000000
74, 1.00413226773191888164, -77.02779742570284327030, 0.00000000000000000000
75, 1.00206236029339734728, -76.88223684338960595142, 0.00000000000000000000
76, 1.00099770561845691219, -83.03640830695486840796, 0.00000000000000000000
77, 1.00011223709765362244, -87.79890674902323155493, 0.00000000000000000000
78, 1.00070021651815221908, -71.79110505674019293565, 0.00000000000000000000
79, 0.99771119437436683874, -72.73653567975780731558, 0.00000000000000000000
80, 1.00183837533628894434, -76.72507811432478774805, 0.00000000000000000000
81, 0.98135914503944998710, -73.01018621059115787375, 0.00000000000000000000
82, 0.99808712773421248698, -79.17389969842513153253, 0.00000000000000000000
83, 0.99911339239868857121, -73.78649418353107591884, 0.00000000000000000000
84, 0.99645054536411115098, -75.72464064441733455624, 0.00000000000000000000
85, 1.00414867034772048449, -76.98670050575563550410, 0.00000000000000000000
86, 1.00126274727641506601, -80.81985366527557346217, 0.00000000000000000000
87, 1.00296854668211543604, -73.63428946649645467915, 0.00000000000000000000
88, 0.99861656479128013686, -83.06681190272072967673, 0.00000000000000000000
89, 1.00353801780453899539, -71.41684472291952090472, 0.00000000000000000000
90, 1.00234125872404655766, -76.77595108326298145585, 0.00000000000000000000
91, 0.99026211037566824746, -72.88086000502129024881, 0.00000000000000000000
92, 0.99638680704057192017, -81.51932338352723661501, 0.00000000000000000000
93, 0.99761097857074187978, -81.83428681746087818283, 0.00000000000000000000
94, 0.99779837664139425790, -84.05429055334330712412, 0.00000000000000000000
95, 1.00167174651391244211, -76.36726548325285079954, 0.00000000000000000000
96, 0.99864830444668228893, -85.25048135185026865202, 0.00000000000000000000
97, 0.99973049510615907831, -80.20562429053609321272, 0.00000000000000000000
98, 0.98838002975546990214, -65.49695781565810648317, 0.00000000000000000000
99, 0.99281048624085665999, -68.30906651429039300183, 0.00000000000000000000
100, 1.00173659252083369076, -72.55123957950254975913, 0.00000000000000000000
101, 0.99244541412242859302, -90.90613153284176917168, 0.00000000000000000000
102, 0.99828082735357115407, -74.02579647631507953065, 0.00000000000000000000
103, 1.00071967124397920301, -71.97736371903035035302, 0.00000000000000000000
104, 1.00747739389250079434, -89.87202172612039419164, 0.00000000000000000000
105, 1.00370717587120816816, -55.29045272514792230822, 0.00000000000000000000
106, 1.00542271724217746609, -65.73049622891566912131, 0.00000000000000000000
107, 1.00318420962671717156, -37.93665963328012225020, 0.00000000000000000000
