--ramp rate info
Generator, Unit, ramp rate bound
1045, '2', 0.0341003239
1955, '1', 0.1600518805
799, '1', 0.1134082309
1865, '1', 0.2253009944
2056, '1', 0.0494730939
706, '1', 0.1015714594
707, '1', 0.1795118885
105, '1', 0.3570397856
1786, '1', 0.0855314593
1786, '2', 0.1338891629
1786, '3', 0.1339874206
195, '1', 0.0404692244
195, '2', 0.0402900944
195, '3', 0.0864697386
206, '1', 0.0512289449
8542, '6', 0.0799437779
103, '1', 0.4368289219
1645, '1', 6.4041255061
1954, '1', 1.3563743234
1582, '1', 0.2452403933
662, '1', 0.0588928060
2250, '1', 1.4105995660
284, '1', 0.6758800376
8292, '1', 0.9001842033
8292, '2', 0.6988733125
1872, '1', 1.2718285183
1872, '2', 0.9067436628
1872, '3', 1.0985551537
1872, '4', 0.7420479449
1951, '1', 58.6589521961
1951, '2', 67.2939118440
2248, '1', 8.5077518423
2248, '2', 4.2660295390
557, '1', 1.3958320806
557, '2', 1.1372240047
1610, '1', 3.1397229373
1610, '2', 3.4459473898
1610, '3', 2.3771769353
367, '1', 0.0909028551
420, '1', 0.4146070935
420, '2', 0.3741266172
420, '3', 0.6986715533
1752, '1', 0.1389732105
1752, '2', 0.0680738426
1752, '3', 0.0919207774
1752, '4', 0.1465575835
1752, '5', 0.1417509375
1752, '6', 0.0537703583
8215, '1', 1.3775770188
350, '1', 0.0552494060
1863, '1', 0.1370151843
420, '4', 0.1438464707
420, '5', 0.1590084254
529, '1', 0.2218483085
707, '2', 0.1800325401
1296, '1', 0.0912807004
1296, '2', 0.0132959053
1841, '1', 0.4446650283
1841, '2', 0.5362932733
1841, '3', 0.4112502385
49, '1', 0.0965425208
1845, '1', 0.0290791541
1845, '2', 0.0477740525
1845, '3', 0.0524324930
158, '1', 0.0804039429
158, '2', 0.1218851694
1732, '1', 0.1778298300
2409, '1', 0.1997867877
2409, '2', 0.1282481121
1801, '1', 1.2094753608
1801, '2', 2.3780297536
1801, '3', 0.4089884656
1801, '4', 0.3062111266
1801, '5', 0.1990505452
1801, '6', 0.4026577120
1801, '7', 0.4327296290
1801, '8', 0.4737517242
1801, '9', 1.7897310064
1499, '1', 0.5600657221
1499, '2', 0.7860043714
1499, '3', 0.7023320580
1499, '4', 1.5042385340
1499, '5', 1.3466717019
1499, '6', 2.2917987949
2220, '5', 0.9097911267
1762, '1', 3.1077632253
1762, '2', 1.2622940147
552, '1', 0.1424640956
552, '2', 0.2083054865
552, '3', 0.1756278321
552, '4', 0.2564925713
552, '5', 0.3029044827
1787, '1', 2.1076787759
1617, '1', 0.5725821480
1617, '2', 1.0359022623
2306, '1', 0.0913517276
1783, '1', 0.5843008557
1783, '2', 0.7063580031
1783, '3', 2.5409356363
1783, '4', 4.5585323399
1775, '1', 2.4356716560
1775, '2', 2.4111697845
1775, '3', 1.1022183511
1775, '4', 2.0553778496
7882, '1', 2.8699801853
7882, '2', 2.4384401147
8495, '1', 1.3881847647
8495, '2', 0.9583706088
1646, '1', 2.3942886679
1646, '2', 1.2598530963
1646, '3', 2.7017307066
1677, '1', 0.2767948535
1875, '1', 0.1190732894
1875, '2', 0.1746503289
1875, '3', 0.1596562163
1875, '4', 0.0671943087
1875, '5', 0.1696189225
1875, '6', 0.1912585226
1875, '7', 0.1271423720
1875, '8', 0.0778646607
1875, '9', 0.1904763179
351, '1', 1.8238812151
1222, '1', 1.8823790229
1641, '1', 0.4381084426
1056, '1', 0.0331449542
