--base
--Active power constraint
Bus, sum_pg, pd, gsh, v_n, gshvn2, sum_p_li, sum_p_ti, pslackm_n, pslackp_n, p_relax
60, 0.0359997082, -0.0000000000, 0.0000000000, 1.0570910984, -0.0000000000, 0.0359997083, NaN, -0.0000000090, -0.0000000091, 0.0000000000
61, NaN, -0.0000000000, 0.0000000000, 1.0585338300, -0.0000000000, 0.0000000001, NaN, -0.0000000090, -0.0000000091, 0.0000000000
62, NaN, -0.0000000000, 0.0000000000, 0.9744198304, -0.0000000000, 0.0000000001, NaN, -0.0000000090, -0.0000000091, 0.0000000000
63, 0.0000000000, -0.0759149800, 0.0000000000, 1.0049084784, -0.0000000000, -0.0759149799, NaN, -0.0000000090, -0.0000000091, 0.0000000000
64, NaN, -0.0669756000, 0.0000000000, 0.9673437281, -0.0000000000, -0.0669755999, NaN, -0.0000000090, -0.0000000091, 0.0000000000
65, 0.0000000000, -0.0724963600, 0.0000000000, 0.9698375346, -0.0000000000, -0.0724963599, NaN, -0.0000000090, -0.0000000091, 0.0000000000
66, NaN, -0.0000000000, 0.0000000000, 0.9986871176, -0.0000000000, 0.0000000001, NaN, -0.0000000090, -0.0000000091, 0.0000000000
67, NaN, -0.0320898200, 0.0000000000, 0.9929096793, -0.0000000000, -0.0320898199, NaN, -0.0000000090, -0.0000000091, 0.0000000000
68, 0.0000000295, -0.0000000000, 0.0000000000, 0.9949708051, -0.0000000000, 0.0000000296, NaN, -0.0000000090, -0.0000000091, 0.0000000000
69, NaN, -0.1899603000, 0.0000000000, 1.0593568408, -0.0000000000, -0.1899602999, NaN, -0.0000000090, -0.0000000091, 0.0000000000
70, NaN, -0.0244323100, 0.0000000000, 1.0568776672, -0.0000000000, -0.0244323099, NaN, -0.0000000090, -0.0000000091, 0.0000000000
71, 0.0193938138, -0.0000000000, 0.0000000000, 1.0525346109, -0.0000000000, 0.0193938139, NaN, -0.0000000090, -0.0000000091, 0.0000000000
72, NaN, -0.0245799200, 0.0000000000, 1.0482073159, -0.0000000000, -0.0245799199, NaN, -0.0000000090, -0.0000000091, 0.0000000000
73, NaN, -0.0000000000, 0.0000000000, 1.0523401079, -0.0000000000, 0.0000000001, NaN, -0.0000000090, -0.0000000091, 0.0000000000
74, 0.0000000000, -0.5834948000, 0.0000000000, 1.0543137033, -0.0000000000, -0.5834947999, NaN, -0.0000000090, -0.0000000091, 0.0000000000
75, NaN, -0.0742455100, 0.0000000000, 1.0597605938, -0.0000000000, -0.0742455099, NaN, -0.0000000090, -0.0000000091, 0.0000000000
76, 0.0000001210, -0.0000000000, 0.0000000000, 1.0561631634, -0.0000000000, 0.0000001211, NaN, -0.0000000090, -0.0000000091, 0.0000000000
77, 0.0000000000, -0.2533561000, 0.0000000000, 1.0519790348, -0.0000000000, -0.2533560999, NaN, -0.0000000090, -0.0000000091, 0.0000000000
78, NaN, -0.0395046200, 0.0000000000, 1.0544702591, -0.0000000000, -0.0395046199, NaN, -0.0000000090, -0.0000000091, 0.0000000000
79, NaN, -0.0000000000, 0.0000000000, 1.0526540405, -0.0000000000, 0.0000000001, NaN, -0.0000000090, -0.0000000091, 0.0000000000
80, NaN, -0.0613758100, 0.0000000000, 1.0589314575, -0.0000000000, -0.0613758099, NaN, -0.0000000090, -0.0000000091, 0.0000000000
81, NaN, -0.0396636000, 0.0000000000, 1.0372757951, -0.0000000000, -0.0396635999, NaN, -0.0000000090, -0.0000000091, 0.0000000000
82, 0.0000000000, -0.5626587000, 0.0000000000, 1.0549501539, -0.0000000000, -0.5626586999, NaN, -0.0000000090, -0.0000000091, 0.0000000000
83, NaN, -0.0826539300, 0.0000000000, 1.0589216311, -0.0000000000, -0.0826539299, NaN, -0.0000000090, -0.0000000091, 0.0000000000
84, NaN, -0.1113218000, 0.0000000000, 1.0497710404, -0.0000000000, -0.1113217999, NaN, -0.0000000090, -0.0000000091, 0.0000000000
85, NaN, -0.0334525300, 0.0000000000, 1.0543798432, -0.0000000000, -0.0334525299, NaN, -0.0000000090, -0.0000000091, 0.0000000000
86, NaN, -0.0398569900, 0.0000000000, 1.0572899311, -0.0000000000, -0.0398569899, NaN, -0.0000000090, -0.0000000091, 0.0000000000
87, NaN, -0.0432136300, 0.0000000000, 1.0597897889, -0.0000000000, -0.0432136299, NaN, -0.0000000090, -0.0000000091, 0.0000000000
88, NaN, -0.2129072000, 0.0000000000, 1.0544158001, -0.0000000000, -0.2129071999, NaN, -0.0000000090, -0.0000000091, 0.0000000000
89, NaN, -0.0000000000, 0.0000000000, 1.0569198397, -0.0000000000, 0.0000000001, NaN, -0.0000000090, -0.0000000091, 0.0000000000
90, 0.0349999113, -0.0423818600, 0.0000000000, 1.0593315054, -0.0000000000, -0.0073819487, NaN, -0.0000000090, -0.0000000091, 0.0000000000
91, NaN, -0.0455639800, 0.0000000000, 1.0456874495, -0.0000000000, -0.0455639799, NaN, -0.0000000090, -0.0000000091, 0.0000000000
92, 0.0000000000, -0.6040207000, 0.0000000000, 1.0503159875, -0.0000000000, -0.6040206999, NaN, -0.0000000090, -0.0000000091, 0.0000000000
93, 0.0000000000, -0.4389343000, 0.0000000000, 1.0492269485, -0.0000000000, -0.4389342999, NaN, -0.0000000090, -0.0000000091, 0.0000000000
94, NaN, -0.1022018000, 0.0000000000, 1.0511069236, -0.0000000000, -0.1022017999, NaN, -0.0000000090, -0.0000000091, 0.0000000000
95, 0.0000000000, -0.3445713000, 0.0000000000, 1.0591021502, -0.0000000000, -0.3445712999, NaN, -0.0000000090, -0.0000000091, 0.0000000000
96, NaN, -0.0664334100, 0.0000000000, 1.0484205857, -0.0000000000, -0.0664334099, NaN, -0.0000000090, -0.0000000091, 0.0000000000
97, NaN, -0.0000000000, 0.0000000000, 1.0579232044, -0.0000000000, 0.0000000001, NaN, -0.0000000090, -0.0000000091, 0.0000000000
98, NaN, -0.0000000000, 0.0000000000, 1.0179939366, -0.0000000000, 0.0000000001, NaN, -0.0000000090, -0.0000000091, 0.0000000000
99, NaN, -0.1273975000, 0.0000000000, 1.0457194674, -0.0000000000, -0.1273974999, NaN, -0.0000000090, -0.0000000091, 0.0000000000
100, NaN, -0.0840409700, 0.0000000000, 1.0460679192, -0.0000000000, -0.0840409699, NaN, -0.0000000090, -0.0000000091, 0.0000000000
101, NaN, -0.1494080000, 0.0000000000, 0.9830213063, -0.0000000000, -0.1494079999, NaN, -0.0000000090, -0.0000000091, 0.0000000000
102, NaN, -0.0798153300, 0.0000000000, 1.0572446032, -0.0000000000, -0.0798153299, NaN, -0.0000000090, -0.0000000091, 0.0000000000
103, 0.1269998169, -0.0000000000, 0.0000000000, 1.0464816427, -0.0000000000, 0.1269998169, NaN, -0.0000000090, -0.0000000091, 0.0000000000
104, NaN, -0.0718614100, 0.0000000000, 0.9982025153, -0.0000000000, -0.0718614099, NaN, -0.0000000090, -0.0000000091, 0.0000000000
105, 0.0999996203, -0.0000000000, 0.0000000000, 1.0599845235, -0.0000000000, 0.0999996204, NaN, -0.0000000090, -0.0000000091, 0.0000000000
106, 0.1999984090, -0.0540467400, 0.0000000000, 1.0598432087, -0.0000000000, 0.1459516690, NaN, -0.0000000090, -0.0000000091, 0.0000000000
107, NaN, -0.3410702000, 0.0000000000, 1.0587125155, -0.0000000000, -0.3410701999, NaN, -0.0000000090, -0.0000000091, 0.0000000000
108, 0.0155149936, -0.3319975000, 0.0000000000, 1.0499900642, -0.0000000000, -0.3164825063, NaN, -0.0000000090, -0.0000000091, 0.0000000000
109, NaN, -0.0169090900, 0.0000000000, 1.0543085798, -0.0000000000, -0.0169090899, NaN, -0.0000000090, -0.0000000091, 0.0000000000
110, NaN, -0.1074017000, 0.0000000000, 1.0415512621, -0.0000000000, -0.1074016999, NaN, -0.0000000090, -0.0000000091, 0.0000000000
111, 1.8100899908, -0.0000000000, 0.0000000000, 1.0599996106, -0.0000000000, 1.8100899908, NaN, -0.0000000090, -0.0000000091, 0.0000000000
112, 0.0679997255, -0.0000000000, 0.0000000000, 1.0442074660, -0.0000000000, 0.0679997256, NaN, -0.0000000090, -0.0000000091, 0.0000000000
113, 0.0193938134, -0.0000000000, 0.0000000000, 1.0499510304, -0.0000000000, 0.0193938135, NaN, -0.0000000090, -0.0000000091, 0.0000000000
114, NaN, -0.1151694000, 0.0000000000, 0.9690722315, -0.0000000000, -0.1151693999, NaN, -0.0000000090, -0.0000000091, 0.0000000000
115, NaN, -0.0703469700, 0.0000000000, 1.0494571890, -0.0000000000, -0.0703469699, NaN, -0.0000000090, -0.0000000091, 0.0000000000
116, 0.2456550800, -0.0000000000, 0.0000000000, 1.0534171515, -0.0000000000, 0.2456550801, NaN, -0.0000000090, -0.0000000091, 0.0000000000
117, NaN, -0.1298908000, 0.0000000000, 1.0559510279, -0.0000000000, -0.1298907999, NaN, -0.0000000090, -0.0000000091, 0.0000000000
118, NaN, -0.0535696100, 0.0000000000, 1.0200396876, -0.0000000000, -0.0535696099, NaN, -0.0000000090, -0.0000000091, 0.0000000000
119, NaN, -0.1556232000, 0.0000000000, 1.0510495741, -0.0000000000, -0.1556231999, NaN, -0.0000000090, -0.0000000090, 0.0000000000
120, NaN, -0.0416106100, 0.0000000000, 1.0414596258, -0.0000000000, -0.0416106099, NaN, -0.0000000090, -0.0000000091, 0.0000000000
121, 0.2585842812, -0.0000000000, 0.0000000000, 1.0528232719, -0.0000000000, 0.2585842812, NaN, -0.0000000090, -0.0000000091, 0.0000000000
122, NaN, -0.0247614300, 0.0000000000, 1.0540846266, -0.0000000000, -0.0247614299, NaN, -0.0000000090, -0.0000000091, 0.0000000000
123, NaN, -0.0527719700, 0.0000000000, 1.0382974836, -0.0000000000, -0.0527719699, NaN, -0.0000000090, -0.0000000091, 0.0000000000
124, NaN, -0.1168029000, 0.0000000000, 1.0419484206, -0.0000000000, -0.1168028999, NaN, -0.0000000090, -0.0000000091, 0.0000000000
125, 0.3552169763, -0.0000000000, 0.0000000000, 1.0599995561, -0.0000000000, 0.3552169764, NaN, -0.0000000090, -0.0000000091, 0.0000000000
126, NaN, -0.0718418500, 0.0000000000, 1.0401335155, -0.0000000000, -0.0718418499, NaN, -0.0000000090, -0.0000000091, 0.0000000000
127, NaN, -0.0000000000, 0.0000000000, 0.9936398739, -0.0000000000, 0.0000000001, NaN, -0.0000000090, -0.0000000091, 0.0000000000
128, NaN, -0.0550750300, 0.0000000000, 0.9621604145, -0.0000000000, -0.0550750299, NaN, -0.0000000090, -0.0000000091, 0.0000000000
